City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
Cape Town,-33.9258,18.4232,60.28,71,75,2.3
Olafsvik,64.8945,-23.7142,45.46,92,100,12.55
Birao,10.2849,22.7882,76.53,73,98,4.65
Nālūt,30.3333,10.85,75.81,38,100,4.32
Katherine,-14.4667,132.2667,82.72,61,5,6.91
Hobart,-42.8794,147.3294,51.03,92,75,1.01
Timizart,36.8,4.2667,60.82,92,82,4.16
Punta Arenas,-53.15,-70.9167,44.71,49,75,36.82
Balkanabat,39.5108,54.3671,59.13,20,2,5.23
Cidreira,-30.1811,-50.2056,66.2,90,100,9.78
Ancud,-41.8697,-73.8203,57.42,60,4,11.14
Ponta do Sol,32.6667,-17.1,70.43,53,25,6.51
San Policarpo,12.1791,125.5072,80.56,81,100,8.61
Rome,43.2128,-75.4557,51.94,66,90,5.75
Mehamn,71.0357,27.8492,35.1,59,100,18.92
Kuril'sk,45.2333,147.8833,45.23,64,62,14.76
Severo-Kuril'sk,50.6789,156.125,39.47,79,100,9.66
Bilma,18.6853,12.9164,84.85,14,3,7.72
Port Alfred,-33.5906,26.891,61.2,65,4,24.67
Khatanga,71.9667,102.5,10.11,93,100,16.87
Nishihara,26.1842,127.7558,72.68,65,75,8.05
Vysokogornyy,50.1167,139.15,24.44,98,35,3.31
Narsaq,60.9167,-46.05,35.82,72,70,1.14
Atuona,-9.8,-139.0333,78.31,78,12,18.68
Avarua,-21.2078,-159.775,73.45,56,20,10.36
Mari-Turek,56.7895,49.6235,38.32,84,25,7.9
Nikolskoye,59.7035,30.7861,35.87,93,97,8.75
Ashoknagar,24.5667,77.7167,68.18,59,0,5.3
Vaini,-21.2,-175.2,71.76,83,75,12.66
Bluff,-46.6,168.3333,51.57,93,100,3.58
Chokurdakh,70.6333,147.9167,-2.06,98,100,6.24
San Quintín,30.4833,-115.95,68.58,70,4,22.86
Cabo San Lucas,22.8909,-109.9124,90.61,58,20,11.5
Qui Nhon,13.7667,109.2333,76.87,92,100,12.39
Kiryat Gat,31.61,34.7642,72.09,100,0,5.66
Port Hedland,-20.3167,118.5667,75.25,38,100,5.75
Yulara,-25.2406,130.9889,66.04,37,43,9.22
Ketchikan,55.3422,-131.6461,43.27,93,90,10.36
Rikitea,-23.1203,-134.9692,74.82,82,98,20.58
Ushuaia,-54.8,-68.3,33.46,93,75,29.93
Saint-Philippe,-21.3585,55.7679,73.47,84,57,13.06
Rudnogorsk,57.2639,103.7519,29.25,86,63,7.36
Santa Luzia,-19.7697,-43.8514,86.14,44,40,5.75
Rutul,41.5357,47.4239,41.9,64,1,4.21
Lokosovo,61.1333,74.8167,41.58,93,100,14.03
Albany,42.6001,-73.9662,55.27,58,92,8.25
Lagoa,39.05,-27.9833,66.4,68,24,14.09
Rāwah,34.4816,41.9093,72.52,27,23,5.77
Geraldton,-28.7667,114.6,54.01,94,6,4.61
Lüderitz,-26.6481,15.1594,58.46,73,0,18.92
Kiama,-34.6833,150.8667,60.28,94,91,1.01
Yangi Marg`ilon,40.4272,71.7189,42.22,65,0,6.91
Mahébourg,-20.4081,57.7,75.49,78,40,12.66
Richards Bay,-28.783,32.0377,70.56,66,74,23.09
Havøysund,70.9963,24.6622,32.88,55,100,17.67
Kukushtan,57.6464,56.4952,38.82,86,17,9.06
Dongsheng,39.8161,109.9776,42.64,72,89,6.8
Yellowknife,62.456,-114.3525,43.41,79,40,1.01
Port Elizabeth,-33.918,25.5701,60.1,77,40,21.85
Belyy Yar,53.6039,91.3903,40.89,60,0,8.95
Hithadhoo,-0.6,73.0833,82.24,74,79,12.35
Puerto Ayora,-0.7393,-90.3518,78.76,83,100,9.73
Pisco,-13.7,-76.2167,69.85,64,0,19.57
Northam,51.0333,-4.2167,56.01,78,100,18.97
Vestmanna,62.1564,-7.1664,49.12,100,90,11.5
Tirumullaivāsal,11.2333,79.8333,78.69,86,14,7.43
Victoria Point,-27.5833,153.3,74.17,95,100,6.91
Fortuna,40.5982,-124.1573,60.93,79,90,5.01
Ilulissat,69.2167,-51.1,19.42,79,90,23.02
Indramayu,-6.3264,108.32,81.59,74,100,3.47
Saint Anthony,45.0205,-93.218,52.86,50,1,1.99
Edd,13.9297,41.6925,85.86,67,97,13.09
Måløy,61.9353,5.1136,45.73,79,100,8.99
Busselton,-33.65,115.3333,51.08,79,100,5.86
Klaksvík,62.2266,-6.589,50.92,91,100,22.48
Jamestown,42.097,-79.2353,51.39,92,90,7.0
Hambantota,6.1241,81.1185,78.96,80,38,12.95
Castro,-24.7911,-50.0119,70.92,60,100,7.27
Hilo,19.7297,-155.09,76.24,96,90,6.29
Empalme,27.9667,-110.8167,94.21,37,0,10.18
Mataura,-46.1927,168.8643,51.31,96,100,0.27
Gayny,60.3071,54.3241,37.83,87,60,10.04
Kaitangata,-46.2817,169.8464,51.64,85,100,1.41
Östersund,63.1792,14.6357,36.05,93,20,6.91
Hofn,64.2539,-15.2082,45.16,94,97,7.02
Butaritari,3.0707,172.7902,81.0,73,100,7.18
Lebu,-37.6167,-73.65,54.7,72,27,9.86
Lufilufi,-13.8745,-171.5986,82.18,68,97,16.75
Amazar,53.858,120.875,31.44,89,7,1.83
Dikson,73.5069,80.5464,9.07,87,98,12.53
Chui,-33.6971,-53.4616,62.69,70,100,1.01
East London,-33.0153,27.9116,62.17,66,49,20.87
Tasiilaq,65.6145,-37.6368,33.96,86,100,4.85
Zhob,31.3411,69.4481,58.87,37,0,2.55
Evora,38.5667,-7.9,63.54,41,61,5.61
Sapozhok,53.9419,40.6806,41.18,74,8,11.81
Thinadhoo,0.5333,72.9333,83.12,71,85,14.12
Grindavik,63.8424,-22.4338,46.87,93,75,11.5
Carnarvon,-24.8667,113.6333,66.27,77,0,10.36
Srednekolymsk,67.45,153.6833,-14.44,99,35,4.16
Kapaa,22.0752,-159.319,80.58,77,20,7.0
Souillac,-20.5167,57.5167,75.58,78,40,12.66
Eufaula,31.8913,-85.1455,81.03,46,1,4.61
Esperance,-33.8667,121.9,51.64,67,50,16.46
Agadez,19.75,10.25,83.16,15,0,8.25
Mar del Plata,-38.0023,-57.5575,68.02,61,75,14.0
Karonga,-9.9333,33.9333,76.8,68,3,4.32
Dabola,10.75,-11.1167,74.21,91,10,1.99
Ribeira Grande,38.5167,-28.7,68.4,73,75,4.61
Dunedin,-45.8742,170.5036,54.81,80,100,1.99
Okhotsk,59.3833,143.3,15.98,78,2,15.61
Tuktoyaktuk,69.4541,-133.0374,28.4,93,75,9.22
Thompson,55.7435,-97.8558,33.96,80,75,3.44
Longyearbyen,78.2186,15.6401,21.04,79,40,5.75
Giohar,2.7809,45.5005,77.7,81,3,7.49
Baykit,61.67,96.37,33.71,93,100,9.17
Bredasdorp,-34.5322,20.0403,56.28,76,39,3.44
Torbay,47.6666,-52.7314,63.37,88,75,13.8
Boden,65.8252,21.6886,17.6,98,58,2.66
Hermanus,-34.4187,19.2345,57.9,70,10,4.54
Port Blair,11.6667,92.75,79.0,82,96,4.12
Biak,-0.9131,122.8766,75.72,79,99,3.18
Bethel,41.3712,-73.414,60.55,60,20,6.91
Alofi,-19.0595,-169.9187,76.89,61,89,13.8
Avera,33.194,-82.5271,77.45,37,0,3.56
George Town,5.4112,100.3354,80.89,87,20,0.0
Bengkulu,-3.8004,102.2655,76.06,89,69,3.62
Mossamedes,-15.1961,12.1522,65.97,70,47,11.18
Paraná,-31.732,-60.5238,73.51,68,52,14.36
Tambacounda,13.7539,-13.7586,84.25,70,75,11.5
Grootfontein,-19.5667,18.1167,69.37,32,0,2.3
Puri,19.8,85.85,73.92,61,24,3.33
Saint George,37.1041,-113.5841,77.47,22,1,5.01
Port Hardy,50.6996,-127.4199,51.98,82,40,10.36
Nome,64.5011,-165.4064,30.27,75,1,4.61
Ngunguru,-35.6167,174.5,62.17,95,100,23.64
Tessalit,20.1986,1.0114,88.86,16,34,9.37
Lamar,33.6668,-95.5836,85.66,60,40,16.11
Yuzhno-Sukhokumsk,44.6581,45.6436,55.26,64,0,4.63
Cam Ranh,11.9214,109.1591,78.76,78,40,5.75
Banjar,-8.19,114.9675,78.66,84,81,4.18
Saskylakh,71.9167,114.0833,7.65,95,100,16.51
Nanortalik,60.1432,-45.2371,35.8,73,38,3.09
