,City,Approx. Latitude,Approx. Longitude
0,pisco,-21.03196449252863,-86.01921911817614
1,punta arenas,-69.38141092146876,-117.03479039845061
2,albany,-33.96244357222642,119.14355463167078
3,ushuaia,-83.66681262366345,-58.66332287002177
4,torbay,45.353053344375354,-49.247244601348115
5,grand river south east,-23.342006241111307,68.53683344692882
6,nome,60.26702295428893,-167.9803171196993
7,inhambane,-25.616659806087952,37.889983401166404
8,provideniya,64.41735643096723,-172.99490328948875
9,vaini,-68.59968630513359,-168.72511745498386
10,hilo,12.306559541259105,-138.68537717595842
11,barrow,83.45554648497719,-156.86785150562733
12,yeppoon,-20.18655418023951,154.09573140643295
13,illoqqortoormiut,83.59020857475801,-30.120686433834777
14,avarua,-24.65487597404666,-159.96181511335342
15,petropavlovsk-kamchatskiy,49.57702537051094,162.5093749937185
16,norman wells,71.40448504148023,-122.06881471553605
17,mataura,-64.29371308474403,-145.41430450627786
18,svetlaya,46.18682097014175,139.4076510970374
19,ravar,32.02009759090177,56.688503261555496
20,vilyuysk,62.987669616954605,122.04229006894565
21,saint-augustin,58.562128308330955,-61.11354150511531
22,xichang,28.065907778510862,103.17302269678481
23,cidreira,-34.41747463091155,-43.90377027092785
24,taolanaro,-59.58161383669853,66.48522436434729
25,cabo san lucas,10.182019984712184,-124.25726681822708
26,esperance,-31.562561972804787,120.08292974475341
27,qaanaaq,85.78434027253843,-78.52802477545991
28,rikitea,-24.382479635620882,-107.18997299523284
29,wagar,15.914467211226665,36.58757143766499
30,georgetown,-13.137267031024678,-22.758853625777363
31,novobirilyussy,58.60952958175287,90.06720434721001
32,paita,-6.662691610861515,-83.42531131586901
33,mwinilunga,-12.070573981016736,24.944545343724428
34,arraial do cabo,-47.63237022044264,-19.041442878629425
35,imeni zhelyabova,59.78200098072389,36.35139921678851
36,san quintin,28.73895095316037,-119.40126525659886
37,cape town,-45.672146494365144,10.691039999962356
38,mahon,40.01420373780522,4.232950871129503
39,luchou,25.110887584404026,121.42489973332647
40,mar del plata,-61.721843248629014,-36.50851291338509
41,port alfred,-55.977155158155455,35.19300147530123
42,grand gaube,-15.589241080910867,60.7327165892078
43,busselton,-86.45085661110971,86.85220561437268
44,vagamo,61.76759619950474,8.597320927803452
45,klaksvik,72.19763409206033,-4.189124110520936
46,sinnamary,14.558801724591945,-49.659453478756376
47,baykit,63.94327526542037,95.62990658742626
48,san lazaro,-22.006392573998852,-58.540821863688436
49,belushya guba,89.58489615031422,51.729207002363296
50,marsh harbour,29.935378465631047,-71.57447173075849
51,bluff,-83.45746862446899,156.96533466417065
52,havre-saint-pierre,52.56583884627682,-61.66469500408087
53,bathsheba,16.34008115443902,-56.4111818696836
54,bara,14.081329124334587,29.141367704774183
55,bredasdorp,-67.9386111315516,26.139791111731114
56,atuona,-12.39392984606556,-130.86412697294725
57,constitucion,16.88675223429574,-119.79523031406265
58,patacamaya,-17.356392660590572,-68.04260526935226
59,san patricio,18.592267766926184,-106.21131095857814
60,hermanus,-88.33496596243378,5.354493144951391
61,bengkulu,-13.133081749570863,95.2942928239425
62,geraldton,52.25353307462714,-88.31904402086909
63,richmond,-30.209794973040523,30.118601988406112
64,port hawkesbury,39.111637012974256,-59.731559644165074
65,clyde river,73.31373778873211,-65.74551735591996
66,martapura,-4.854194557782407,116.39422668858987
67,muzhi,65.15196392064686,65.55774429042452
68,alofi,-18.187666401394154,-165.7125644983301
69,anadyr,63.374850030717084,175.28105540579105
70,chuy,-45.79118815464525,-41.962278722029254
71,villa guerrero,22.018031759017376,-103.87113952030805
72,new norfolk,-49.43291372826879,142.40699603844962
73,beyneu,44.475737952268844,56.49686355386902
74,grindavik,61.396384500014534,-23.130537028921793
75,padang,-7.65985749441559,88.67315970877132
76,odweyne,6.823477780711826,44.97020396929827
77,mahebourg,-33.0408799415869,71.92121631161186
78,marsa matruh,28.87635004632753,25.674029688409576
79,tsihombe,-29.193678949072748,44.605157133543344
80,lebu,-32.167082847223824,-89.1131679419477
81,buenaventura,3.850581336283568,-77.14115284338284
82,saint george,29.09308579578702,-51.52128267740056
83,hithadhoo,-3.7294226716149126,77.08235845055884
84,capitao poco,-1.88783071169712,-46.680548012250114
85,vagay,57.885715175942494,69.76007904506488
86,poum,-18.47698432465444,162.82490298651595
87,port shepstone,-31.557550664406214,32.036881534773585
88,hobart,-52.88575408563637,148.203223275984
89,roald,72.30374200339824,0.912447288968167
90,lagoa,44.00821681749164,-29.094468219571667
91,cockburn town,25.080298509558062,-74.9998981509359
92,dera bugti,28.895871445233723,69.02487358710749
93,jiuquan,39.2622442607333,98.40937045546832
94,thompson,67.68690100977292,-94.77559514411786
95,homer,60.048182840835494,-153.89181996591492
96,phitsanulok,17.164467915139866,100.43117857491046
97,talnakh,74.91770111823115,89.41126175417713
98,mehamn,87.49568094317681,29.67601751482701
99,thunder bay,47.83757431090231,-89.91469003165973
100,airai,19.62978753398386,142.84032003103624
101,balikpapan,-1.5574563918282962,117.19577324580928
102,ayna,-12.317928407173397,-73.63488456600318
103,bulaevo,54.35159060750988,70.60519018404588
104,evensk,63.54911127602534,158.68618719079944
105,la ronge,56.83275774814342,-103.51209157763846
106,dikson,85.8528419262291,88.03427051513387
107,san clemente,-35.5780122888015,-71.31671404485998
108,leningradskiy,75.61648925262952,179.0845368250973
109,beira,-20.253542351980087,35.511838550883965
110,nara,15.975606677843146,-6.799974499309656
111,puerto ayora,-13.774595311666005,-107.46586660908288
112,chokurdakh,75.12409938442738,150.13615371212336
113,auki,-5.453538061736452,164.70435048615508
114,ahuimanu,36.31335326430667,-152.30615308333896
115,dawei,13.605484283731698,95.76938515307472
116,nikolskoye,36.83411787619801,171.12811836186148
117,kaura namoda,12.879350083817172,6.343793455580453
118,port blair,10.370918405163195,94.83270576069572
119,touros,-3.150547571453558,-33.76759544613975
120,merauke,-7.7785524197855125,140.88443247013726
121,san juan,18.81005890825017,-66.11408932971541
122,tumannyy,73.91421566157766,36.715842135002305
123,saleaula,-6.9462045474815,-170.31218633250643
124,beloha,-28.58534931093581,42.999563511624075
